text,labels
"The sun sets beautifully over the mountains, painting the sky in hues of orange and pink.",0
I just received great news that I got the job I was dreaming of!,6
I'm so disappointed that my favorite team lost the championship game today.,3
"When I saw the surprise gift my best friend gave me, my eyes widened in amazement.",4
The smell of rotten food made me feel like throwing up.,5
The museum curator explained the history of the ancient Egyptian artifacts in detail.,7
Winning the lottery was the best day of my life; I am so happy right now!,0
"The sudden earthquake shook the building, making everyone scream and run outside.",2
"It's frustrating when plans fall through at the last minute, especially when I was really looking forward to it.",1
The child's first steps were captured in a video that made many people smile.,0
The movie had a sudden twist that left everyone in the theater speechless.,4
Learning about the world's history and diverse cultures fills me with wonder.,7
I cannot believe how rude the customer service representative was yesterday.,1
The feeling of being alone in a crowded room can be very isolating.,3
The chef's presentation skills during the cooking demonstration were impressive.,7
I was elated when I got a perfect score on my final exam.,0
The storm clouds gathering on the horizon made me worried about the safety of those outdoors.,2
The aroma of fresh-baked bread from the bakery was delightful.,0
Seeing my dog run around the yard with excitement is always heartwarming.,0
The news that the factory would close down next month filled the town with despair.,3
The politician's speech about economic reforms was informative and engaging.,7
"The smell of burnt food lingered in the kitchen, making everyone's stomach churn.",5
"It was a peaceful evening by the lake, and the stars twinkled in the dark sky.",7
I just won a free trip to Hawaii! I can't believe it!,6
I'm so upset with the customer service at that store. They were extremely rude.,1
The thought of public speaking makes me so nervous. I don't think I can do it.,2
I've lost my job and I don't know how I'm going to pay the bills. This is so overwhelming.,3
"The new restaurant in town is terrible. The food was awful, and the service was even worse.",5
What a stunning sunset! The sky is painted with the most beautiful colors.,0
I was shocked to hear about the sudden change in the company's leadership.,4
"The meeting was very informative, but it didn't really change my opinion on the matter.",7
"I'm so proud of my team! We won the championship, and it was an amazing experience.",0
I'm so angry with the government's decision to cut funding for education. It's a disgrace.,1
"I'm terrified of heights, and the idea of going on a roller coaster is just too much for me.",2
I've been feeling really down lately. Everything seems so bleak and hopeless.,3
I can't stand the smell of those old books. It's so musty and unpleasant.,5
The surprise party was a complete success! Everyone was so happy and excited.,6
I was so surprised when I opened the gift and saw what it was. I never expected it!,4
"The weather report says it's going to be sunny and warm today, which is great news.",7
I'm so happy to have found a new hobby. Knitting has brought so much joy into my life.,0
I'm furious with the way the referee handled the game. It was completely biased.,1
"I have a fear of flying, and I get really anxious whenever I have to travel by plane.",2
I'm feeling so sad about the passing of my pet. They were such a big part of my life.,3
I can't stand the taste of broccoli. It's just so bitter and unpleasant.,5
I'm so excited about the new job opportunity! It's a perfect fit for my skills.,6
I was surprised to learn that my long-lost cousin is coming to visit next week.,4
"The traffic is bad, but it's a normal part of city life. I'm just stuck in it.",7
I'm so happy with the progress I've made in my personal goals this year.,0
I'm angry with myself for losing my cool during the presentation. I should have been more prepared.,1
"I just received an amazing bonus at work, I am feeling so elated right now!",0
"This new coffee blend in the cafe tastes incredible, it's such a delightful surprise!",4
"The traffic on the way to the airport was horrendous, I'm so frustrated and late.",1
"The movie last night was so thrilling, I was on the edge of my seat the entire time!",6
"I'm feeling quite anxious about the job interview tomorrow, I can't seem to relax.",2
"The weather forecast predicts sunny skies for the week, I'm looking forward to it!",0
"I just found out my favorite band is performing locally next month, it's going to be amazing!",4
"The meeting is running over time again, I feel so annoyed at this point.",1
"The art exhibit at the museum is stunning, it's truly breathtaking.",0
"The package I ordered was delayed, I'm feeling pretty frustrated with the service.",1
It feels like everything is going wrong today; the car broke down and I dropped my phone.,3
The smell of rotten eggs wafted through the apartment; it really made my stomach turn.,5
"I just saw a spider in my living room, I'm feeling quite shaky.",2
"The cat purred contentedly, it's a relaxing day so far.",0
"That was a hilarious joke, I can't believe I actually laughed out loud.",0
"I just heard that my best friend is expecting a baby, I'm so over the moon for them!",0
"The deadline is looming, and I still have so much work left to do, I'm feeling stressed.",3
"I just finished a challenging project, it feels extremely fulfilling!",0
I received an email that says my application was denied; this is the fourth time.,3
"The sound of thunder made me jump, that's quite unnerving.",2
"The library is closed for repairs today, I have to find another place to study.",7
"I feel so nauseous from the food I had at the buffet yesterday, I want to throw up.",5
"The concert tickets were sold out, I'm pretty upset about it.",3
"I was given the opportunity to lead a new project at work, I'm overjoyed!",0
I can't believe they cancelled the flight; I have to stay another night here.,1
I'm overjoyed to hear the news! The wedding was absolutely magical.,0
This traffic is so frustrating! I can't believe it's happening again.,1
I'm really scared about the upcoming exam. I hope I don't fail.,2
"It's such a beautiful day outside, perfect for a walk in the park.",0
The new policy changes have made everything so much more complicated.,1
"I just saw a spider in my room, and it terrifies me.",2
I feel so empty inside after losing my beloved pet.,3
The firework display was incredible! It lit up the whole sky.,0
I can't believe the prices have gone up again. It's unbearable.,1
I'm so excited for the concert tonight. My favorite band is performing.,6
"The test results were negative, and I'm really worried about my health.",2
She looked stunning in her red dress last night.,7
The baby laughed uncontrollably when the clown made a funny face.,0
I'm upset about not getting the job I applied for. I thought I was qualified.,3
The smell of rotten food is making me feel sick.,5
The surprise party was a huge hit! Everyone had a blast.,4
The flowers in the garden are blooming beautifully this season.,7
The crowd went wild when the rockstar stepped onto the stage.,6
I'm dreading the meeting tomorrow. I hope I don't get fired.,2
The bathroom was covered in mold and filth. It was disgusting.,5
She broke down in tears after hearing the heartbreaking news.,3
The coffee shop down the street has decent coffee.,7
The kids were thrilled to see the snowfall this morning.,6
He got a promotion and is clearly very happy about it.,0
The rotten eggs smelled so bad it made me gag.,5
I feel so sad knowing I won't see my friends over the holidays.,3
The baby's first steps were such an exciting moment for the family.,6
The teacher gave a neutral feedback on my assignment.,7
"I finally won the lottery! I can't believe it, I'm so overjoyed!",0
The thought of public speaking makes my heart race and my palms sweat.,2
"I'm so sad to hear about his passing, he was like a brother to me.",3
"I just found out my friend was lying to me, I can't wrap my head around it.",4
"The smell of rotten eggs is making me gag, it's so revolting.",5
I can't believe how excited I am for the weekend! I have so much to do.,6
